potao ku'm perm hornet. anih 'long. rogoh hloh wa tah horn todrong pogdp. kra. yang lam noh. ||| vua lập một. nơi. cực. thánh ở giữa ðền. thờ, phía trong, để đặt. hòm. bia. giao ước của ðức. chúa.
tơdah bơngai bu teh 'bơm măt đĭch đam drŏ-nglo dah drŏ-kăn, pơm kơ sư măt tol, athei ăn kơ sư rơngei yua kơ măt sư tol,. ||| nếu ai đánh nhằm con mắt đầy-tớ trai hay gái mình, làm cho mất đi, thì hãy tha nó ra tự-do, vì cớ mất con mắt.
tơdah bơngai bu tĕch hnam lăm minh pôm pơlei đei dur war tăp dăr, bơngai tĕch noh gơh pơdrâu huai iŏk dang kiơ̆ lăm minh sơnăm, jô̆ iŏk đơ̆ng năr sư tĕch. lăm sơnăm noh, bơngai tĕch gơh pơdrâu huai iŏk hnam sư kơdih. ||| nếu người nào bán một cái nhà ở trong thành có vách bọc, thì có được phép chuộc lại cho đến giáp một năm sau khi bán; phép chuộc lại của người chỉ trong một năm trọn vậy.
tơdah bơngai bu tĕch kon drŏ-kăn sư pơm đĭch đe, kon drŏ-kăn 'noh ưh kơ; gơh rơngei ôh thoi đĭch dam drŏ-nglo,. ||| nếu ai bán con gái mình làm con đòi, con gái đó không được ra như các đầy-tớ kia.
tơdah bơngai bu ưh kơ băt ôh hơtŭt 'bơm minh pôm tơmam 'mê̆-'mach đêl akâu sem bri lôch ưh kơ rơgoh dah akâu sem dơrong ưh kơ rơgoh, dah akâu 'bih kơep lep-ler ưh kơ rơgoh, mă khan kơdih sư ưh kơ băt ră, lei bơngai noh ưh kơ rơgoh mơ̆n păngkư̆m yoch bơih. ||| khi ai sẽ đụng đến một vật ô-uế, hoặc thây của con thú nhà không tinh-sạch, hoặc thây của con thú rừng không tinh-sạch, hoặc thây của loài côn-trùng nào không tinh-sạch, mà không tự biết, thì sẽ bị ô-uế và mắc tội.
tơdah bơngai drŏ-kăn 'bôh pham lơ năr, hloh kơ khei năr sư juăt kơ 'bôh jơ̆ng, dah tơdrong 'bôh pham noh đunh dêh, hloh kơ năr jing kơnê̆ 'mê̆-'mach, sư gô jing kơnê̆ 'mê̆-'mach đĭ lăm năr sư 'bôh jơ̆ng noh; thoi lăm năr kơplah sư jing kơnê̆ 'mê̆-'mach. ||| khi một người nữ ngoài kỳ kinh-nguyệt mình lại có lưu huyết nhiều ngày, hoặc là bị mất quá kỳ, sẽ bị ô-uế trọn trong lúc lưu huyết như trong lúc kinh-nguyệt mình vậy.
tơdah bơngai drŏ-kăn năm 'bĭch pơm kư̆ kă hăm kon sem brem ih athei pơlôch lê̆ bơngai drŏ-kăn hăm kon sem brem noh hloi. pham lu sư gô tuh tơ lu sư kơdih. ||| nếu một người nữ lại gần một con thú đặng cấu-hiệp cùng nó, ngươi hãy giết người nữ và con thú đó đi; huyết nó sẽ đổ lại trên mình nó.
tơdah bơngai drŏ-nglo 'bĭch hăm bơngai drŏ-kăn kơplah oei 'bôh jơ̆ng; bơngai drŏ-nglo pơm kơ pham bơngai drŏ-kăn lĕch, na bơngai drŏ-kăn tơlĕch pham sư kơdih, 'bar 'nu sư noh, đe gô puh tơlĕch weh đơ̆ng kon pơlei lu sư. ||| nếu một người nam nằm cùng một người nữ trong lúc có kinh-nguyệt, và người nam lộ ra nguyên-huyết của người nữ, và chính người nữ cũng lộ ra nguyên-huyết mình, thì caả hai đều sẽ bị truất khỏi dân-sự mình.
tơdah bơngai drŏ-nglo 'bĭch hăm bơngai drŏ-kăn, na tơdrong 'mê̆-'mach bơngai drŏ-kăn 'bôh jơ̆ng, 'bơm tơ drŏ-nglo, bơngai drŏ-nglo gô jing kơnê̆ 'mê̆-'mach lăm tơpơh năr, giơng đêl sư 'bĭch kư̆m gô jing kơnê̆ 'mê̆-'mach. ||| ví bằng một người nam giao-cấu cùng người nữ đó, và sự ô-uế kinh-nguyệt dính người nam, thì người nam sẽ bị ô-uế trong bảy ngày; phàm giường nào người nằm đều cũng sẽ bị ô-uế.
tơdah bơngai drŏ-nglo 'bĭch pơm kư̆ kă hăm tơduă bơngai drŏ-nglo thoi 'bĭch pơm kư̆ kă hăm bơngai drŏ-kăn, 'bar 'nu bre sư đe gô pơlôch đĭ. yua kơ pơm boih tơdrong kơnê̆ mă. inh hil mĭl krưp dêh, pham lu sư gô tuh tơ lu sư kơdih. ||| nếu một người nam nằm cùng một người nam khác, như nằm cùng người nữ, thì hai người đó đều hẳn phải bị xử-tử, vì họ đã làm một sự gớm-ghiếc; huyết họ sẽ đổ lại trên mình họ.
tơdah bơngai drŏ-nglo lĕch đak kơtăk athei hum đĭ akâu sư lăm đak păng gô kơnê̆ 'mê̆-'mach truh kơmăng. ||| hễ người nam di-tinh, phải tắm trọn mình trong nước, và bị ô-uế đến chiều tối.
tơdah bơngai drŏ-nglo ngôi hăm minh 'nu drŏ-kăn na lĕch đak kơtăk, 'bar 'nu măr sư athei hum lăm đak păng gô jing kơnê̆ 'mê̆-'mach truh kơmăng. ||| khi nào người nam và người nữ giao-cấu nhau, thl phải tắm trong nước, và bị ô-uế đến chiều tối.
tơdah bơngai nge đơ̆ng minh khei truh tơ pơđăm sơnăm athei jô̆ tơdrong gĭt sư pơđăm seikơl jên hu kơ bơngai drŏ-nglo păng pêng seikoi jên hu kơ bơngai drŏ-kăn. ||| ví bằng một đứa ưẻ từ một tháng đến năm tuổi, thì hãy định giá năm siếc-lơ bạc cho một đứa trai, và ba siếc-lơ bạc cho một đứa gái.
tơdah bơngai pơyơ̆r pơkă pơkăm noh dơnuh dêh, ưh kơ kĕ ăn jên kiơ̆ kơ hơgăt. athei anhăk ba sư tơ anăp 'bok soi sư gô hơgăt kiơ̆ kơ bơngai noh kĕ đei. ||| bằng người khấn-nguyện rất nghèo-khổ, không nộp được giá tiền ngươi định, thì hãy đem đen trước mặt thầy tế-lễ cho người định cho. thầy tế-lễ sẽ tùy theo phương-thế người khấn-nguyện mà định giá vậy.
tơdah bơngai tơmoi oei hơdai lăm tơring lu iĕm, 'nĕ kơ pojuă pơm kơnê̆ kơ sư. ||| khi kẻ khách nào kiều-ngụ trong xứ các ngươi, thì chở hà-hiếp người
tơdah bơngai tơpăt jei jơnei, đei hiôk chơt tih; mă-lei đei bơngai pơm kơnê̆ iung lei đei bơngai kơdâu ôn. ||| khi chính nhân thắng trận thì vinh quang chiếu toả nơi nơi, khi kẻ ác đứng lên, ai cũng phải ẩn mình.
tơdah bơngai đei tơdrong jĭ đuh lĕch đơ̆ng akâu, gơsoh 'bơm kơ bơngai rơgoh, bơngai noh athei pih hơbĕn ao sư, hum lăm đak păng jing kơnê̆ 'mê̆-'mach truh kơmăng. ||| nếu người bịnh bạch-trược nhổ nhằm người nào tinh-sạch, thì người đó phải giặt quần-áo mình, tắm trong nước, và bị ô-uế đến chiều tối.
tơdah bơngai đơ̆ng teh đak 'nguaih, dah bơngai tơmoi oei lăm teh đak ih jing mơdrŏng na 'nhŏng oh ih oei hơdai sư jing dơnuh, na năm tĕch akâu sư kơdih kơ bơngai tơmoi đơ̆ng teh đak nai oei hăm ih, dah tĕch ăn-kơ minh 'nu bơngai bu lăm hnam bơngai tơmoi noh. ||| khi một khách ngoại-bang hay là một người kiều-ngụ nơi ngươi trở nên giàu, còn anh em ngươi ở cùng họ lại nên nghèo, đem bán mình cho kẻ khách ngoại-bang kiều-ngụ nơi ngươi, hay là cho một người nào trong nhà kẻ khách ngoại-bang ấy,
tơdah bơ̆n lui kơiăp khŏm khŏm truh năr tôch, bơ̆n gô oei hơdai hăm. yêsu. krist ling-lang. tơdah bơ̆n ưh kơ kiơ sư khŏm khŏm, bơ̆n ưh kơ gơh oei hơdai hăm sư ôh. ||| quả thế, chúng ta đã được thông phần đức. ki-tô, miễn là chúng ta cứ giữ vững cho đến cùng căn bản của lòng tin đã có từ ban đầu.
tơdah choh hơmet dơnă 'lơ̆ng bơih, hăm trŏ kơ sư săi adrĕch găr hla ngo tơ âu, na rei adrĕch ba rơngâu tơ to? hăm trŏ kơ sư pơtăm 'ba mi kiơ̆ trong rơuơ păng pơtăm 'ba tơ'bâu tơ anih sư păng 'ba nai tơ lăm mir sư dah kiơ? ||| một khi đã san bằng thửa đất, lại không gieo tảo vĩ, không rắc thì là hay sao? rồi trồng miến trồng kê, trồng lúa mạch một phần, và lúa mì nâu ở ven bờ ruộng.
tơdah chŭn sư pơyơ̆r đơ̆ng sơnăm hiôk-hian tơdrong gĭt sư iŏk kiơ̆ kơ hơgăt lê̆ bơih. ||| nếu biệt ruộng mình ra thánh từ năm hân-hỉ, họ sẽ nhận giá ngươi định;
tơdah drŏ-nglo dah drŏ-kăn tơ akâu akar sư đei hơđoh kok, lak kok. ||| khi nào người nam hay nữ trên da thân minh có những đốm trắng,
tơdah hlôi kơ minh sơnăm bơih na bơngai tĕch ưh kơ huai pơdrâu iŏk, lei hnam mă lăm tŏk-bŏk pơlei đei dur war tăp dăr noh gô oei hơnơ̆ng gah ti bơngai răt. ||| còn nếu không chuộc lại trước khi giáp hạn một năm trọn, thì nhà à trong thành có vách bọc đó sẽ về chủ mua và dòng-dõi người mãi mãi; đến năm hân-hỉ nhà đó không ra khỏi tay họ.
tơdah hơ'năk ưh kơ đei 'leh kiơ hơnhuăl noh hăm gơh tơgloh đỡng teh ưh? ||| bẫy có bật lên khỏi mặt đất chăng, nếu nó không bắt được gì?
tơdah hơbủt truh, lu bơngai pơm kơnễ ưh pă đei dờng; . mà-lei lu bơngai pơm 'lờng hơnă jrăng oei đei ling-lang. ||| khi gió ưốt thổi qua, kẻ hung-ác không còn nữa; . song nền của người công-bình còn đến đời đời.
tơdah hơgăt tơdrong gĭt kơ bơngai drŏ-nglo đơ̆ng 'bar-jĭt sơnăm truh tơ tơdrâu-jĭt sơnăm tơdrong gĭt sư dang pơđăm-jĭt seikơl jên hu, kiơ̆ kơ seikơl lăm anih 'lơ̆ng rơgoh. ||| nếu ngươi định giá về một người nam từ hai mươi đến sáu mươi tuổi, thì hãy định cho năm chục siếc-lơ bạc, tùy theo siếc-lơ nơi thánh.
tơdah hơmơ̆l gom. bơsŭn. anih. akŭm noh đơ̆ng kơsơ̆ truh pơgê păngdah pơgê dơning hơmơ̆l noh đông, weh, na lu sư yak; mă kơ'năr dah kơmăng mơ̆ng kơ hơmơ̆l đông weh, na lu sư yak năm. ||| khi trụ mây ngự tại đó từ buổi chiều đến sáng mai, và khi đến sáng mai trụ mây cất lên, thì ra đi; không cứ ngày hay đêm trụ mây cất lên, thì họ ra đi.
tơdah ih 'bôh aseh iĕ, tơngla sư mă bơngai areh kơ ih chơ trăp na ưh kơ kĕ, ih 'nĕ kơ pơglăn đĕch, athei tŭn dŏng sư. ||| ngộ ngươi thấy lừa của kẻ ghét mình bị chở nặng phải quỵ, chớ khá bỏ ngơ, phải cứu nó cho được nhẹ.
tơdah ih 'bôh đak sut sa sư lăp ai; sa lơ 'bơ'blut kơnh ih hăk lê̆. ||| kiếm được mật, con chỉ ăn vừa đủ, ăn quá nhiều, ắt sẽ mửa ra thôi
tơdah ih 'lơ̆ng tơpăt, ih gô ăn tơdrong kiơ kơ. kră. yang? kră. yang gô đei iŏk tơdrong kiơ đơ̆ng ti ih? ||| nếu ông công chính, ông đem lại chi cho. người, liệu. người sẽ nhận được gì từ tay ông?
tơdah ih 'mong kơ hre ưh kơ đei, lei đei yua kiơ kơ ih gô hiong giơng ih tep. ||| vì nếu con không có gì để trả, giường con đang nằm, người ta cũng lấy đi.
tơdah ih chã. kră. yang, kon gô tưbỡp; mă-lei tơdah ih achăng lễ. kră. yang, sĩtkră. yahg gô achàng lễ ih ling- lang. ||| nếu con tìm kiếm. người,. người sẽ cho con được gặp; nhưng nếu con lìa xa. người,. người sẽ lìa bỏ con
tơdah ih chơchă sư thoi chă jên kăk,. păng chă sư thoi tơmam gĩt khăi,. ||| néu con tìm nó như tiền-bạc,. vầ kiếm nó như bửu-vật ẩn-bí,
tơdah ih chơgàm pơnam pơm kiỡ nờr. kră. yang 'bok. kei-dei ih, na tơdrong noh gô truh. ||| sẽ xảy ra như thế nếu các người thực sự vâng nghe tiếng ðức. chúa,. thiên. chúa của các người."
tơdah ih gĭt kơ. kră. yang. tih. hloh thoi maih. thoi hu mă ih gĭt. ||| thì chính ðấng. toàn. năng sẽ là vàng, chính. người sẽ là bạc cho anh.
tơdah ih gơh hơgẻi, đẹi yuaíkơ ih kơdih; . tơdah ih blei hiap, -sit ih gô.pù hơngiapkơdih. ||| nếu con khôn-ngoan, thì có ích cho chính mình con; . nếu con nhạo-báng, tất một mình con phải gánh lầy.
tơdah ih gơh tơl bĕ nơ̆r inh iung dơ̆ng ră roi bĕ dôm nơ̆r trŏ wă dŏng ih 'bơ̆t anăp inh! ||| nếu có thể, ông trả lời tôi xem, cứ phi bác tôi và giữ vững lập trường.
tơdah ih hŭt lê̆ maih tơ teh, păng klơ̆m maih ôphir tơ tơmo hơga lăm thong đak hrơ̆,. ||| nếu anh quẳng vàng xuống đất, liệng vàng ô-phia giữa đá cuội lòng sông,
tơdah ih hơ-oei sŏng sa hơdai hăm bơngai pơgơ̆r. kơchăng bĕ kơ bơngai 'bơ̆t anăp ih. ||| khi con ngồi ăn với kẻ có chức quyền, hãy để ý kỹ người đối diện.
tơdah ih khan, "'nâu, nhôn ưh kơ băt ôh tơdrong noh". hăm trŏ đei tơ'ngla 'bôh boih tơdrong noh? hăm trŏ đei tơ'ngla wei-lăng bơhngol ih sư 'bôh tơdrong noh? sư gô pơm tơwih kơ rim 'nu kiơ̆ thoi đêl sư pơm. ||| giả như con bảo: "tôi đâu biết chuyện ấy," thì ðấng đo lòng người lại không hiểu hết sao ? ðấng canh giữ lòng con thấu suốt cả,. người sẽ thưởng phạt ai nấy theo việc họ làm.
tơdah ih kơdâu pơlong jơ̆ng hoh hăm đe boih, na jei đe. liơ ih kĕ kơdâu pơlong hăm aseh lĕ? kơplah lăm char oei hiôk-hian mă ih pơ̆k boih, liơ ih kĕ tŏk lăm bri brah đak. krong. jôrđăn? ||| "nếu ngươi chạy đua với người chạy bộ mà còn đuối sức. làm sao ngươi chạy đua với ngựa được? nếu ngươi vấp ngã trong xứ đang hòa bình an lạc,. làm sao ngươi đối phó được với những bụi gai rậm rạp ở bờ sông. giô-đanh?
tơdah ih puh boihkơ nờr pơkăm, íglăi đỡng 'bỡr ih pơma. ||| thì con đã bị lời miệng mình trỏi- buộc,. mắc phải lời cúa miệng con.
tơdah ih pơjah chă lăp hăm lu bơngai rông 'bôt ih. ih 'nĕ roi pơdah tơdrong hlơp bơngai nai. ||| cứ tranh cãi với đối phương, nhưng đừng tiết lộ chuyện riêng của người khác,
tơdah ih pơm kơ. inh minh pôm chơnang soi păng tơmo, 'nĕ kơ yua tơmo pơm păng ti, yua kơ đe blah tơmo păng ti, lei gô pơm kơ chơnang noh jing 'mê̆-'mach. ||| nếu ngươi lập cho ta một bàn-thờ bằng đá, chớ dùng đá chạm, vì nếu ngươi dùng đồ để chạm thì sẽ làm đá đó ra ô-uế.
tơdah ih pơm kơnê̆ bơlŭk na pơang kơdih,. tơdah ih tơchĕng wă pơm kơnê̆,. iŏk tơpang ti chĭt bĕ 'bơ̆r ih. ||| nếu con đã dại dột tự đề cao, khi nghĩ lại, con hãy đặt tay lên miệng.
tơdah ih pơm thoi noh păng. kră. yang 'bok. kei-dei kữm ăn thoi noh mỡn, ih gô kẽ pơm keh đang đĩ dôm tơdrong jang păng đĩ-đăng kon pơlei kữm đei jơhngỡm' hiôk hơđỡng wih brõk tơ hnam. ||| nếu anh làm điều đó, thì. thiên. chúa sẽ chỉ bảo cho anh, anh sẽ có thể đứng vững, và hơn nữa cả đám dân này có thể về nhà bình an."
tơdah ih pơm yoch, đei 'bơm kiơ kơ. kră. yang 'bok. kei-dei? tơdah ih pơm yoch rai dêh, ih gơh pơm kiơ hăm. kră. yang? ||| giả như ông phạm tội, ông làm chi được. người, ông gia tăng tội ác, có hại được. người không?
tơdah ih răt đĭch đam bơngai. hêbrơ, sư gô bơjang lăm tơdrâu sơnăm truh sơnăm mă tơpơh gô achăng ăn kơ sư rơngei. ưh kơ 'mong jên ôh. ||| nếu ngươi mua một người đầy-tớ. hê-bơ-rơ, nó sẽ hầu việc cho sáu năm; nhưng qua năm thứ bảy nó sẽ được thả ra, không phải thối tiền.
tơdah ih rơdu klai lăm năr đei tơdrong gleh,. noh tơdrong pran kơtang ih iĕ dêh. ||| ngày khốn quẫn mà để mất tinh thần, sức lực con ắt sẽ bị suy giảm.
tơdah ih wih dơ̆ng tơ. kră. yang. tih. hloh, lei ih gô gơh đei hơmet ming dơ̆ng. tơdah ih hŭt lê̆ tơdrong kơnê̆ ataih đơ̆ng anih bơsŭn ih. ||| nếu anh trở lại cùng ðấng. toàn. năng và hạ mình xuống, nếu anh đuổi tội ác ra khỏi lều,
tơdah ih wă pơyơ̆r tơmam soi hăm tơpŭng plei 'long, phe 'ba blŭng-a lăm bơyan ăn kơ. kră. yang athei iŏk hơie 'ba oei adrih peh pơhĕch păng hơdrĕng lê̆ sư. ||| nếu ngươi dùng hoa-quả đầu mùa đặng làm của-lễ chay tế đức. giê-hô-va, thì phái bằng gié lúa rang, hột lúa mới tan ra,
tơdah ih đei pơma pơkă hăm. kră. yang 'bok. kei-dei athei jah pơm pơkeh nơ̆r pơkă noh; yua kơ lu bơngai kơtul ưh kơ đei pơm kơ. kră. yang lăp đon. lei jah pơkeh nơ̆r ih pơkă noh. ||| ðã khấn hứa với. thiên. chúa, đừng lần lữa thi hành; vì. người chẳng thích gì kẻ ngu dại. ðiều gì đã khấn hứa thì hãy thi hành.
tơdah ih đei tơdrong kiơ 'maih tơl inh; pơma bĕ, yua kơ inh 'maih 'bôh ih 'lơ̆ng tơpăt. ||| nếu ông có lời nào, xin đối đáp lại tôi, ông cứ nói vì tôi thích nghe ông biện bạch;
tơdah ih ưh kơ achăng ăn lu sư năm, lei. inh gô ăn roi wồng truh lơ iam tơ ih, tơ đĩch dam ih, tơ kon pơlei păng tơ lăm hnam ih; tỡ hnam bơngai êyiptơ, roi vvồng iam 'bẽnh-'bang, jờp-jang kơpal teh hloi. ||| pha-ra-ô liền triệu ông. mô-sê và ông. a-ha-ron đến và bảo: "các ngươi cứ việc đi tế lễ. thiên. chúa của các ngươi ngay trong đất này!"
tơdah ih ưh kơchu ăn konpơlei inh năm, lei doming inh gô ăn lep truh tơ jởp jang lăm char ih;. ||| nếu ngươi không chịu thả cho dân. ta đi, thì đây ngày mai. ta sẽ cho châu chấu vào lãnh thổ ngươi.
tơdah ih ưh kơăn năm, oei pơkỡng lu sư. ||| nếu ngươi không chịu thả cho chúng đi, mà cứ cầm giữ lại,
tơdah ih-iŏk ao tai bôl buăl ih hăm nơ̆r pơkă pơkăm ih athei pơdrâu ăn kơ sư adrol kơ 'năr mơ̆t;. ||| nếu ngươi cầm áo-xống của kẻ lân-cận mình làm của tin, thì phải trả cho họ trước khi mặt trời lặn;
tơdah inh 'bôh bơngai wă jê̆ lôch yua ưh kơ đei hơbĕn ao,. dah bơngai dơnuh kơ'bah ưh kơ đei khăn su,. ||| phải chăng tôi đã thấy một kẻ khốn cùng không áo mặc, thấy một người nghèo không mền đắp,
tơdah inh gơnang kơ maih păng krao maih rơgoh khan anih inh gơneh gơnơm,. ||| phải chăng tôi lấy vàng làm bảo đảm và nói với vàng ròng: "ngươi là chốn an toàn của ta! "
tơdah inh hiôk chơt yua kơ bơngai areh kơ inh đei tơdrong răm truh,. păng chhôk hơnôk kơplah lu sư đei tơdrong pơmat-tat,. ||| phải chăng tôi mừng vui khi kẻ thù lâm nạn, và hoan hỷ khi nó gặp tai ương?
tơdah inh iŏk sa tơmam sư mă ưh kơ ăn jên,. pơm ăn kơ tơ'ngla sư lôch kơ pơngot,. ||| giả như tôi đã ăn quịt hoa màu ruộng đất, lại làm cho chủ đất trút hơi thở cuối cùng,
tơdah inh jổ dôm tợdrong tơchẽng noh lơ hloh kơ găr chuơh; . wă inh hơđỡr inh oei oei hăm. ih. ||| nếu tôi muốn đếm câc tư-tưởng ấy, thì nhiều hơn cát. khi tôi tỉnh-thức tôi còn ở cùng. chúa.
tơdah inh khan: "inh ưh pă pơma roi gah nơ̆r. sư boih inh ưh pă đei yua anăn. sư na pơma roi dơ̆ng," nơ̆r. sư lăm jơhngơ̆m inh thoi ŭnh soh chhông,. nơ̆r. sư chĭt lê̆ lăm kơting inh, na jơhngơ̆m inh rơmơ̆n lap, ưh pă kĕ ĕnh boih.'. ||| vì mỗi khi con muốn nói, con phải kêu lên. con phải gào to, "bạo. ngược và. hủy. diệt!". vì sứ điệp của. chúa đã làm cho con. bị sỉ nhục và bị cười chê suốt ngày.
tơdah inh khan: "măng mu gô gom ' inh hlơp. . tơdrong hơdah tảp dăr kợ inh gô jing măng mu.": ||| nếu tôi nói:. sự tối-tăm chắc sẽ che khuất tôi, ánh sáng chung-quanh tôi trở nên đêm tối,
tơdah inh lăng tơ măt 'năr pơchrang hơdah. păng măt khei lĕch pơchrang hơdah hơdong rơđah,. ||| phải chăng tôi thấy ánh mặt trời rực rỡ và vầng trăng lộng lẫy huy hoàng
tơdah inh năm tơ mir chŭn to akâu lu bơngai lôch kơ đao gưm, tơdah inh mơ̆t tơ pơlei tih, to 'bôh lu bơngai jĭ jăn yua kơ pơngot rơwĕt! lu 'bok khan lê̆ adrol păng lu 'bok soi. chă yak năm lăm dêh char mă lu sư ưh kơ lah băt. ||| nếu tôi đi ra ngoài đồng. kìa, người ta bị giết bằng gươm! nếu tôi đi vào trong thành,. kìa, người ta yếu lả vì đói! bởi giới tiên tri và giới tư tế đi lòng vòng khắp xứ thi hành chức vụ,. mà kỳ thật họ chẳng hiểu biết gì.'". giê-rê-mi. cầu. thay. cho. dân
tơdah inh sa hơdrô̆ minh 'nu inh. ưh kơ asong bơngai mơti,. ||| phải chăng tôi ăn bánh một mình, không chia phần cho kẻ mồ côi?
tơdah inh sơngah ưh kơ ăn ôh tơmam kơ bơngai dơnuh dơnan hơpơi wă,. tơdah inh lê̆ bơngai adro chang gô dĭng pă hơmĕng. ||| phải chăng tôi từ chối ước vọng của người nghèo, làm cho mắt goá phụ mỏi mòn vì trông ngóng?
tơdah inh ăn tơdrong pơngot rơwĕt truh, mơjĭt 'nu adruh gô 'buh 'beng lu iĕm lăm minh tơnuh ŭnh păng kŏng 'bĕng noh na wih ăn kơ lu iĕm, lu iĕm sa ră mă-lei ưh kơ phĭ. ||| khi ta dẫn sự đói-kém đến, mười người nữ sẽ nướng bánh của các ngươi trong một lò, cân bánh trao lại cho các ngươi; các ngươi sẽ ăn mà không no.
tơdah inh đei năm hơdai hăm lu bơngai hơlĕnh pơdăr. dah jơ̆ng inh hăt hot yak kiơ̆ trong lu bơngai bơkuĕch. ||| giả như tôi đồng hành cùng gian dối và chân tôi dồn bước với điêu ngoa
tơdah inh đei pơdê tơdrong 'măn ăn kơ đĭch đam drŏ-nglo drŏ-kăn inh,. kơplah lu sư pơma jŏk kơ inh. ||| giả như tôi chà đạp quyền lợi của tôi trai tớ gái đang tranh tụng với tôi,
tơdah inh đei pơnàr păr đỡng pơgê năm oei tơ tôch đak dơsĩ. ||| nhược-bằng tôi lấy cánh hừng- đông,. bay qua ở tại cuối-cùng biển,
tơdah inh đei yơ̆r ti hơ-ô wă pơm kơ lu bơngai mơti, yua kơ inh băt bơngai dŏng inh tơ 'măng jang,. ||| phải chăng tôi đã giơ tay đánh trẻ mồ côi, vì biết mình được nâng đỡ nơi cổng thành?
tơdah iĕm blơ̆. inh păng ưh kơ wă mơ̆ng. inh,. inh gô ăn tơdrong gleh truh kơ iĕm tơpơh wơ̆t hloh kiơ̆ kơ tơdrong yoch iĕm pơm. ||| nếu các ngươi phản-đối cùng ta, và không muốn nghe ta, thì ta sẽ tùy theo tội phạm giáng tai-vạ trên các ngươi gấp bảy lần nữa.
tơdah iĕm huay kơ pơjuă pơđep lu bơngai tơmoi, lu bơngai mơti, lu drŏ-kăn adro păng huay kơ pơlôch tuh pham lăm anih âu păng kư̆m huay kơ kiơ̆ kơkuh kơ yang nai wă pơrăm kơ iĕm kơdih. ||| nếu các ngươi không áp bức các kiều dân, cô nhi, và quả phụ, nếu các ngươi không làm đổ máu người vô tội ở nơi này, và nếu các ngươi không đi theo các thần khác để chuốc họa vào thân
tơdah iĕm năm tơ kơchơ wă răt 'nhĕm sa, iĕm 'nĕ apinh bơngai mă tĕch 'nhĕm 'noh: "'nhĕm ih hăm sơmah ưh?". iĕm kư̆ kơ răt đĕch,. ||| tất cả những gì bán ngoài chợ, anh em cứ việc ăn, không cần phải đặt vấn đề lương tâm,
tơdah iĕm pơkă sĭt hăm tơdrong tơpăt hơnơ̆ng, tơdrong trŏ thoi. kră. yang arih sĭ lei teh đak gô đei pŭn hiôk đơ̆ng. sư,. păng lu sư gô ư-ang kơ. kră. yang,". ||| và nếu ngươi thề rằng, 'nguyện. chúa là đấng hằng sống làm chứng,. trong sự chân thật, công chính, và ngay thẳng,. thì các dân cũng sẽ nhân danh. ngài mà chúc phước cho nhau,. và muôn dân sẽ hãnh diện vì. ngài."
tơdah iĕm tŏk kơ đak, inh gô oei hơdai iĕm, tơdah iĕm glơi tŏk kơ đak glung, iĕm huay kơ glơ̆k ôh, tơdah iĕm yak lăm ŭnh iĕm huay kơ pơtŏk, pla ŭnh ưh kơ sa iĕm. ||| ngươi có băng qua nước,. ta sẽ ở cùng ngươi, ngươi có vượt qua sông, cũng không bị nước cuốn; ngươi có đi trong lửa, cũng chẳng hề hấn gì, ngọn lửa không thiêu rụi ngươi đâu.
tơdah iĕm yak rok kiơ̆ khôi juăt. inh, wei răk păng pơm kiơ̆ nơr. inh tơtă,. ||| nếu các ngươi tuân theo luật-pháp ta, gìn-giữ các điều-răn ta và làm theo,
tơdah iĕm đĭ jơhngơ̆m rong lu bơngai pơmat-ta păng asong ăn sa phĭ kơ lu bơngai pơngot, lei tơdrong hơdah ih gô pơchrang lăm măng mu, kơplah noh măng ih thoi lĕ kơ 'năr dơ̆ng. ||| nếu ngươi chia cơm sẻ bánh cho người đói,. và đáp ứng nhu cầu của người khốn khổ bần hàn,. thì ánh sáng của ngươi sẽ rạng ngời trong đêm tối,. ngay cả lúc âm u của ngươi cũng rực sáng tựa giữa trưa.
tơdah iĕm ơh kơ tơdrong. inh bơtho 'noh hei, lei iĕm gô 'bôh. inh. kon. bơngai, na. inh wih tŏk tơ anih. inh mă oei kơpal plĕnh ti sơ̆, na iĕm tơchĕng liơ dơ̆ng đơ̆ng noh? ||| vậy nếu anh em thấy. con. người lên nơi đã ở trước kia thì sao?
tơdah iẽm kơtởng keng, brồ, tờgièp, 'lal, lillul đe hlôm re, lei lu iẽm athei drap bon kơkuh kơ rup man mă pơtao pơdờng âu: ||| khi nghe tiếng tù và, tiếng sáo, tiếng đàn giây, đàn sắt, đàn cầm, tiếng kèn và đủ thứ nhạc cụ, các ngươi phải sấp mình thờ lạy pho tượng vàng vua. na-bu-cô-đô-nô-xo đã dựng.
tơdah jĭ sư lanh lăm akar, 'bok soi gô jô̆ sư jing kơnê̆ 'mê̆-'mach, noh sư đei jĭ chin. ||| nếu đốm ăn lan trên da thì thầy tế-lễ phải định người là ô-uế; ấy là một vít phung vậy.
tơdah jĭ sư lanh tơ akâu akar sư, 'bok soi ưh kơ kăl ôh chơchă sŏk sop sư kơmưt dơng, noh jơ̆ kơnê̆ bơih. ||| nếu đòng-đanh đã ăn lan trên da rồi, thầy tế-lễ không cần tìm thấy lông vàng-vàng, người đã bị ô-uế.
tơdah jơhngơ̆m inh hưch huŏng kơ bơngai drŏ-kăn,. tơdah inh năm chop răp tơ 'măng hnam sư. ||| nếu tôi để lòng mê theo phụ nữ hay rình rập ngoài cửa nhà tha nhân,
